time,WELLHEAD_PRES
10/01/2015,1622.9605893587106
11/01/2015,1611.5855262237885
12/01/2015,1600.2461775434217
01/01/2016,1588.9424311844073
02/01/2016,1577.6741753656077
03/01/2016,1566.4412986568473
04/01/2016,1555.2436899778095
05/01/2016,1544.0812385969375
06/01/2016,1532.9538341303414
07/01/2016,1521.861366540703
08/01/2016,1510.8037261361926
09/01/2016,1499.7808035693793
10/01/2016,1488.7924898361528
11/01/2016,1477.8386762746438
12/01/2016,1466.919254564153
01/01/2017,1456.034116724074
02/01/2017,1445.1831551128305
03/01/2017,1434.366262426809
04/01/2017,1423.5833316992996
05/01/2017,1412.8342562994376
06/01/2017,1402.1189299311475
07/01/2017,1391.4372466320947
08/01/2017,1380.7891007726348
09/01/2017,1370.1743870547712
10/01/2017,1359.5930005111134
11/01/2017,1349.0448365038364
12/01/2017,1338.5297907236504
01/01/2018,1328.047759188767
02/01/2018,1317.5986382438693
03/01/2018,1307.182324559089
04/01/2018,1296.7987151289858
05/01/2018,1286.447707271525
06/01/2018,1276.1291986270658
07/01/2018,1265.8430871573469
08/01/2018,1255.5892711444767
09/01/2018,1245.367649189931
10/01/2018,1235.1781202135467
11/01/2018,1225.0205834525239
12/01/2018,1214.8949384604293
01/01/2019,1204.8010851062036
02/01/2019,1194.738923573168
03/01/2019,1184.7083543580416
04/01/2019,1174.7092782699553
05/01/2019,1164.7415964294698
06/01/2019,1154.8052102676015
07/01/2019,1144.9000215248425
08/01/2019,1135.0259322501945
09/01/2019,1125.1828448001934
10/01/2019,1115.3706618379524
11/01/2019,1105.5892863321917
12/01/2019,1095.8386215562823
01/01/2020,1086.118571087291
02/01/2020,1076.429038805024
03/01/2020,1066.7699288910774
04/01/2020,1057.1411458278883
05/01/2020,1047.5425943977955
06/01/2020,1037.9741796820908
07/01/2020,1028.4358070600847
08/01/2020,1018.9273822081695